मंडी,फसल,भाउ_प्रति_क्विंटल,तारीख,राज्य
पटना,धान,2050,2024-01-15,बिहार
पटना,गेहूं,2200,2024-01-15,बिहार
गया,धान,2000,2024-01-15,बिहार
गया,मक्का,1800,2024-01-15,बिहार
मुजफ्फरपुर,आलू,1200,2024-01-15,बिहार
मुजफ्फरपुर,प्याज,1800,2024-01-15,बिहार
छपरा,सरसों,4500,2024-01-15,बिहार
छपरा,चना,4200,2024-01-15,बिहार
भागलपुर,धान,2100,2024-01-15,बिहार
भागलपुर,मूंगफली,5500,2024-01-15,बिहार
दिल्ली,आज़ादपुर,गेहूं,2400,2024-01-15,दिल्ली
दिल्ली,आज़ादपुर,आलू,1400,2024-01-15,दिल्ली
मुंबई,वशी,धान,2300,2024-01-15,महाराष्ट्र
मुंबई,वशी,प्याज,2000,2024-01-15,महाराष्ट्र
कोलकाता,कोले,धान,2150,2024-01-15,पश्चिम बंगाल
कोलकाता,कोले,आलू,1300,2024-01-15,पश्चिम बंगाल
