N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.50,202.93,rice
85,58,41,21.77,80.31,7.03,226.65,rice
60,55,44,23.00,82.32,7.84,263.96,rice
100,60,40,25.00,75.00,6.00,150.00,maize
71,39,15,26.00,81.00,6.90,131.00,maize
61,38,20,28.00,70.00,5.90,120.00,maize
30,20,15,30.00,40.00,7.10,70.00,wheat
15,14,19,30.20,38.30,7.30,65.00,wheat
20,10,10,25.00,30.00,6.10,80.00,cotton
40,30,20,29.00,45.00,6.80,95.00,cotton
50,60,55,27.00,85.00,6.70,180.00,jute
55,65,50,26.00,88.00,6.50,195.00,jute
20,50,20,28.00,90.00,6.00,100.00,coconut
30,40,25,27.00,95.00,5.90,120.00,coconut
