mandi,crop,price_per_quintal,date,state
Patna,Rice,2050,2024-01-15,Bihar
Patna,Wheat,2200,2024-01-15,Bihar
Gaya,Rice,2000,2024-01-15,Bihar
Gaya,Maize,1800,2024-01-15,Bihar
Muzaffarpur,Potato,1200,2024-01-15,Bihar
Muzaffarpur,Onion,1800,2024-01-15,Bihar
Chapra,Mustard,4500,2024-01-15,Bihar
Chapra,Chickpea,4200,2024-01-15,Bihar
Bhagalpur,Rice,2100,2024-01-15,Bihar
Bhagalpur,Groundnut,5500,2024-01-15,Bihar
Delhi,Azadpur,Wheat,2400,2024-01-15,Delhi
Delhi,Azadpur,Potato,1400,2024-01-15,Delhi
Mumbai,Vashi,Rice,2300,2024-01-15,Maharashtra
Mumbai,Vashi,Onion,2000,2024-01-15,Maharashtra
Kolkata,Koley,Rice,2150,2024-01-15,West Bengal
Kolkata,Koley,Potato,1300,2024-01-15,West Bengal
Crop,Market,State,Price_per_Quintal_INR,Arrival_Date
Wheat,Indore,Madhya Pradesh,2450,2026-04-18
Wheat,Ludhiana,Punjab,2275,2026-04-19
Paddy (Rice),Karnal,Haryana,2180,2026-04-19
Potato,Agra,Uttar Pradesh,1150,2026-04-18
Potato,Hassan,Karnataka,1400,2026-04-17
Onion,Lasalgaon,Maharashtra,2100,2026-04-19
Onion,Alwar,Rajasthan,1850,2026-04-18
Maize,Gulabbagh,Bihar,2050,2026-04-19
Tomato,Kolar,Karnataka,2800,2026-04-19
Tomato,Pimpalgaon,Maharashtra,2400,2026-04-18
Soybean,Dewas,Madhya Pradesh,4600,2026-04-19
Mustard,Jaipur,Rajasthan,5400,2026-04-18
