एन,पी,के,तापमान,नमी,पीएच,वर्षा,लेबल
90,42,43,20.87,82.0,6.5,202.93,rice
85,58,41,21.77,80.31,7.03,226.65,rice
60,55,44,23.0,82.32,7.84,263.96,rice
100,60,40,25.0,75.0,6.0,150.0,maize
71,39,15,26.0,81.0,6.9,131.0,maize
61,38,20,28.0,70.0,5.9,120.0,maize
30,20,15,30.0,40.0,7.1,70.0,wheat
15,14,19,30.2,38.3,7.3,65.0,wheat
20,10,10,25.0,30.0,6.1,80.0,cotton
40,30,20,29.0,45.0,6.8,95.0,cotton
50,60,55,27.0,85.0,6.7,180.0,jute
55,65,50,26.0,88.0,6.5,195.0,jute
20,50,20,28.0,90.0,6.0,100.0,coconut
30,40,25,27.0,95.0,5.9,120.0,coconut
